bg/ex1/01_roc_r2/dun/r2d1/level	TT1021
bg/ex1/03_abr_a2/evt/a2e1/level	STAGE:1-CHIP
bg/ex1/03_abr_a2/evt/a2e2/level	TT507
bg/ex1/03_abr_a2/evt/a2e3/level	TT567
bg/ex1/03_abr_a2/evt/a2e4/level	TT568
bg/ex1/03_abr_a2/fld/a2f1/level	TT401
bg/ex1/03_abr_a2/fld/a2f2/level	TT402
bg/ex1/03_abr_a2/fld/a2fa/level	TT436
bg/ex1/03_abr_a2/fld/a2fb/level	TT437
bg/ex1/03_abr_a2/fld/a2fc/level	TT512
bg/ex1/03_abr_a2/fld/a2fd/level	TT517
bg/ex1/03_abr_a2/fld/a2fe/level	TT576
bg/ex1/03_abr_a2/fld/a2fg/level	TT637
bg/ex1/03_abr_a2/fld/a2fh/level	TT656
bg/ex1/03_abr_a2/fld/a2fx/level	TT901
bg/ex1/05_zon_z2/evt/z2e1/level	STAGE:1-CHIP
bg/ex1/05_zon_z2/evt/z2e2/level	STAGE:1-CHIP
bg/ex1/05_zon_z2/evt/z2e3/level	STAGE:1-CHIP
bg/ex1/05_zon_z2/rad/z2r1/level	TT508
bg/ex1/05_zon_z2/rad/z2r2/level	TT556
bg/ex1/05_zon_z2/rad/z2r3/level	TT627
bg/ex2/01_gyr_g3/dun/g3d1/level	TT1145
bg/ex2/01_gyr_g3/dun/g3d2/level	TT403
bg/ex2/01_gyr_g3/dun/g3d3/level	TT663
bg/ex2/01_gyr_g3/dun/g3d4/level	TT1172
bg/ex2/01_gyr_g3/dun/g3d5/level	TT830
bg/ex2/01_gyr_g3/evt/g3e1/level	TT683
bg/ex2/01_gyr_g3/evt/g3e2/level	STAGE:1-CHIP
bg/ex2/01_gyr_g3/evt/g3e3/level	TT684
bg/ex2/01_gyr_g3/evt/g3e4/level	TT727
bg/ex2/01_gyr_g3/evt/g3e5/level	STAGE:1-CHIP
bg/ex2/01_gyr_g3/evt/g3e6/level	TT738
bg/ex2/01_gyr_g3/evt/g3e7/level	TT829
bg/ex2/01_gyr_g3/evt/g3e8/level	STAGE:1-CHIP
bg/ex2/01_gyr_g3/fld/g3f1/level	TT612
bg/ex2/01_gyr_g3/fld/g3f2/level	TT620
bg/ex2/01_gyr_g3/fld/g3f3/level	TT621
bg/ex2/01_gyr_g3/fld/g3fa/level	TT719
bg/ex2/01_gyr_g3/fld/g3fb/level	TT679
bg/ex2/01_gyr_g3/fld/g3fc/level	TT730
bg/ex2/01_gyr_g3/twn/g3t1/level	TT635
bg/ex2/02_est_e3/cnt/e3c1/level	TT770
bg/ex2/02_est_e3/cnt/e3c2/level	TT771
bg/ex2/02_est_e3/cnt/e3c3/level	TT772
bg/ex2/02_est_e3/cnt/e3c4/level	TT773
bg/ex2/02_est_e3/cnt/e3c5/level	TT774
bg/ex2/02_est_e3/cnt/e3c6/level	TT775
bg/ex2/02_est_e3/dun/e3d1/level	TT1367
bg/ex2/02_est_e3/dun/e3d2/level	TT714
bg/ex2/02_est_e3/dun/e3d3/level	TT1144
bg/ex2/02_est_e3/dun/e3d4/level	TT662
bg/ex2/02_est_e3/dun/e3d5/level	TT742
bg/ex2/02_est_e3/dun/e3d6/level	TT768
bg/ex2/02_est_e3/dun/e3d7/level	TT1173
bg/ex2/02_est_e3/evt/e3e1/level	TT639
bg/ex2/02_est_e3/evt/e3e2/level	STAGE:1-CHIP
bg/ex2/02_est_e3/evt/e3e3/level	STAGE:1-CHIP
bg/ex2/02_est_e3/evt/e3e4/level	STAGE:1-CHIP
bg/ex2/02_est_e3/evt/e3e5/level	TT681
bg/ex2/02_est_e3/evt/e3e6/level	STAGE:1-CHIP
bg/ex2/02_est_e3/evt/e3e7/level	TT744
bg/ex2/02_est_e3/evt/e3e8/level	TT764
bg/ex2/02_est_e3/evt/e3e9/level	TT769
bg/ex2/02_est_e3/evt/e3ea/level	TT682
bg/ex2/02_est_e3/evt/e3eb/level	TT739
bg/ex2/02_est_e3/evt/e3ec/level	TT759
bg/ex2/02_est_e3/evt/e3ed/level	TT780
bg/ex2/02_est_e3/evt/e3ee/level	TT786
bg/ex2/02_est_e3/evt/e3ef/level	STAGE:1-CHIP
bg/ex2/02_est_e3/fld/e3f1/level	TT613
bg/ex2/02_est_e3/fld/e3f2/level	TT614
bg/ex2/02_est_e3/fld/e3f3/level	TT622
bg/ex2/02_est_e3/fld/e3fa/level	TT674
bg/ex2/02_est_e3/fld/e3fb/level	TT746
bg/ex2/02_est_e3/fld/e3fc/level	TT761
bg/ex2/02_est_e3/fld/e3fd/level	TT778
bg/ex2/02_est_e3/fld/e3fe/level	TT810
bg/ex2/02_est_e3/fld/e3ff/level	TT353
bg/ex2/02_est_e3/fld/e3fg/level	TT824
bg/ex2/02_est_e3/twn/e3t1/level	TT628
bg/ex2/02_est_e3/twn/e3ti/level	TT629
bg/ex2/03_ocn_o3/cnt/o3c1/level	TT712
bg/ex2/03_ocn_o3/cnt/o3c2/level	TT794
bg/ex2/03_ocn_o3/dun/o3d1/level	TT1142
bg/ex2/03_ocn_o3/evt/o3e1/level	TT680
bg/ex2/05_zon_z3/btl/z3b1/level	TT893
bg/ex2/05_zon_z3/evt/z3e2/level	TT735
bg/ex2/05_zon_z3/evt/z3e3/level	TT736
bg/ex2/05_zon_z3/evt/z3e4/level	STAGE:1-CHIP
bg/ex2/05_zon_z3/evt/z3e6/level	STAGE:1-CHIP
bg/ex2/05_zon_z3/evt/z3e7/level	STAGE:1-CHIP
bg/ex2/05_zon_z3/evt/z3ea/level	STAGE:1-CHIP
bg/ex2/05_zon_z3/fld/z3fa/level	TT732
bg/ex2/05_zon_z3/fld/z3fb/level	TT763
bg/ex2/05_zon_z3/fld/z3fc/level	TT795
bg/ex2/05_zon_z3/fld/z3fd/level	TT827
bg/ex2/05_zon_z3/ome/z3o1/level	TT690
bg/ex2/05_zon_z3/ome/z3o2/level	TT691
bg/ex2/05_zon_z3/ome/z3o3/level	TT692
bg/ex2/05_zon_z3/ome/z3o4/level	TT693
bg/ex2/05_zon_z3/ome/z3o5/level	TT694
bg/ex2/05_zon_z3/ome/z3o6/level	TT658
bg/ex2/05_zon_z3/ome/z3o7/level	TT748
bg/ex2/05_zon_z3/ome/z3o8/level	TT749
bg/ex2/05_zon_z3/ome/z3o9/level	TT750
bg/ex2/05_zon_z3/ome/z3oa/level	TT751
bg/ex2/05_zon_z3/ome/z3ob/level	TT807
bg/ex2/05_zon_z3/ome/z3oc/level	TT798
bg/ex2/05_zon_z3/ome/z3od/level	TT799
bg/ex2/05_zon_z3/ome/z3oe/level	TT800
bg/ex2/05_zon_z3/ome/z3of/level	TT801
bg/ex2/05_zon_z3/ome/z3oy/level	TT1363
bg/ex2/05_zon_z3/ome/z3oz/level	TT1122
bg/ex2/05_zon_z3/rad/z3r1/level	TT734
bg/ex2/05_zon_z3/rad/z3r2/level	TT776
bg/ex2/05_zon_z3/rad/z3r3/level	TT826
bg/ex2/05_zon_z3/rad/z3r4/level	STAGE:1-CHIP
bg/ex3/01_nvt_n4/btl/n4b1/level	TT859
bg/ex3/01_nvt_n4/btl/n4b2/level	TT911
bg/ex3/01_nvt_n4/btl/n4b3/level	TT914
bg/ex3/01_nvt_n4/btl/n4b4/level	TT920
bg/ex3/01_nvt_n4/btl/n4b5/level	TT936
bg/ex3/01_nvt_n4/btl/n4b6/level	TT975
bg/ex3/01_nvt_n4/cnt/n4c1/level	TT879
bg/ex3/01_nvt_n4/cnt/n4c2/level	TT924
bg/ex3/01_nvt_n4/dun/n4d1/level	TT837
bg/ex3/01_nvt_n4/dun/n4d2/level	TT821
bg/ex3/01_nvt_n4/dun/n4d3/level	TT823
bg/ex3/01_nvt_n4/dun/n4d4/level	TT836
bg/ex3/01_nvt_n4/dun/n4d5/level	TT822
bg/ex3/01_nvt_n4/dun/n4d6/level	TT838
bg/ex3/01_nvt_n4/dun/n4d7/level	TT840
bg/ex3/01_nvt_n4/dun/n4d8/level	TT841
bg/ex3/01_nvt_n4/dun/n4d9/level	TT884
bg/ex3/01_nvt_n4/dun/n4da/level	TT898
bg/ex3/01_nvt_n4/dun/n4db/level	TT916
bg/ex3/01_nvt_n4/evt/n4e1/level	TT844
bg/ex3/01_nvt_n4/evt/n4e4/level	STAGE:1-CHIP
bg/ex3/01_nvt_n4/evt/n4e5/level	STAGE:1-CHIP
bg/ex3/01_nvt_n4/evt/n4e6/level	STAGE:1-CHIP
bg/ex3/01_nvt_n4/evt/n4e7/level	STAGE:1-CHIP
bg/ex3/01_nvt_n4/evt/n4e8/level	TT895
bg/ex3/01_nvt_n4/evt/n4e9/level	TT889
bg/ex3/01_nvt_n4/evt/n4ea/level	TT915
bg/ex3/01_nvt_n4/evt/n4eb/level	TT919
bg/ex3/01_nvt_n4/evt/n4ec/level	STAGE:1-CHIP
bg/ex3/01_nvt_n4/evt/n4ed/level	STAGE:1-CHIP
bg/ex3/01_nvt_n4/evt/n4ee/level	STAGE:1-CHIP
bg/ex3/01_nvt_n4/fld/n4f1/level	TT813
bg/ex3/01_nvt_n4/fld/n4f2/level	TT814
bg/ex3/01_nvt_n4/fld/n4f3/level	TT815
bg/ex3/01_nvt_n4/fld/n4f4/level	TT816
bg/ex3/01_nvt_n4/fld/n4f5/level	TT817
bg/ex3/01_nvt_n4/fld/n4f6/level	TT818
bg/ex3/01_nvt_n4/fld/n4fa/level	TT354
bg/ex3/01_nvt_n4/fld/n4fb/level	TT846
bg/ex3/01_nvt_n4/fld/n4fc/level	TT847
bg/ex3/01_nvt_n4/fld/n4fd/level	TT885
bg/ex3/01_nvt_n4/fld/n4fe/level	TT897
bg/ex3/01_nvt_n4/fld/n4ff/level	TT922
bg/ex3/01_nvt_n4/fld/n4fg/level	TT934
bg/ex3/01_nvt_n4/fld/n4fh/level	TT950
bg/ex3/01_nvt_n4/goe/n4g1/level	TT849
bg/ex3/01_nvt_n4/goe/n4g2/level	TT850
bg/ex3/01_nvt_n4/goe/n4g3/level	TT851
bg/ex3/01_nvt_n4/goe/n4g4/level	TT852
bg/ex3/01_nvt_n4/goe/n4g5/level	TT902
bg/ex3/01_nvt_n4/goe/n4g6/level	TT903
bg/ex3/01_nvt_n4/goe/n4g7/level	TT904
bg/ex3/01_nvt_n4/goe/n4g8/level	TT905
bg/ex3/01_nvt_n4/goe/n4g9/level	TT942
bg/ex3/01_nvt_n4/goe/n4ga/level	TT943
bg/ex3/01_nvt_n4/goe/n4gb/level	TT944
bg/ex3/01_nvt_n4/goe/n4gc/level	TT945
bg/ex3/01_nvt_n4/goe/n4gw/level	TT1238
bg/ex3/01_nvt_n4/goe/n4gx/level	STAGE:1-CHIP
bg/ex3/01_nvt_n4/goe/n4gy/level	TT857
bg/ex3/01_nvt_n4/goe/n4gz/level	TT878
bg/ex3/01_nvt_n4/rad/n4r1/level	TT882
bg/ex3/01_nvt_n4/rad/n4r2/level	TT917
bg/ex3/01_nvt_n4/rad/n4r3/level	TT966
bg/ex3/01_nvt_n4/twn/n4t1/level	TT819
bg/ex3/01_nvt_n4/twn/n4t2/level	TT820
bg/ex3/01_nvt_n4/twn/n4ti/level	TT843
bg/ex3/02_dra_d4/dun/d4d1/level	TT933
bg/ex3/04_wil_w4/dun/w4d1/level	TT938
bg/ex4/01_nvt_n5/cnt/n5c1/level	TT1123
bg/ex4/01_nvt_n5/dun/n5d1/level	TT974
bg/ex4/01_nvt_n5/evt/n5e1/level	TT1031
bg/ex4/01_nvt_n5/fld/n5f1/level	TT961
bg/ex4/01_nvt_n5/rad/n5r0/level	TT1025
bg/ex4/01_nvt_n5/rad/n5r1/level	TT1002
bg/ex4/01_nvt_n5/rad/n5r2/level	TT1004
bg/ex4/01_nvt_n5/rad/n5r3/level	TT1006
bg/ex4/01_nvt_n5/rad/n5r4/level	TT1008
bg/ex4/01_nvt_n5/rad/n5r5/level	TT1081
bg/ex4/01_nvt_n5/rad/n5r6/level	TT1083
bg/ex4/01_nvt_n5/rad/n5r7/level	TT1085
bg/ex4/01_nvt_n5/rad/n5r8/level	TT1087
bg/ex4/01_nvt_n5/rad/n5r9/level	TT1147
bg/ex4/01_nvt_n5/rad/n5ra/level	TT1149
bg/ex4/01_nvt_n5/rad/n5rb/level	TT1151
bg/ex4/01_nvt_n5/rad/n5rc/level	TT1153
bg/ex4/02_mid_m5/btl/m5b1/level	TT1010
bg/ex4/02_mid_m5/dun/m5d1/level	TT952
bg/ex4/02_mid_m5/dun/m5d2/level	TT969
bg/ex4/02_mid_m5/dun/m5d3/level	TT970
bg/ex4/02_mid_m5/dun/m5d4/level	TT1050
bg/ex4/02_mid_m5/dun/m5d5/level	TT1097
bg/ex4/02_mid_m5/evt/m5e1/level	TT988
bg/ex4/02_mid_m5/evt/m5e3/level	TT1024
bg/ex4/02_mid_m5/evt/m5e4/level	TT1078
bg/ex4/02_mid_m5/evt/m5e5/level	TT1161
bg/ex4/02_mid_m5/evt/m5e6/level	TT1125
bg/ex4/02_mid_m5/evt/m5e7/level	TT1160
bg/ex4/02_mid_m5/fld/m5f1/level	TT957
bg/ex4/02_mid_m5/fld/m5f2/level	TT958
bg/ex4/02_mid_m5/fld/m5fa/level	TT1095
bg/ex4/02_mid_m5/fld/m5fb/level	TT509
bg/ex4/02_mid_m5/twn/m5t1/level	TT963
bg/ex4/03_kld_k5/dun/k5d1/level	TT978
bg/ex4/03_kld_k5/dun/k5d2/level	TT1126
bg/ex4/03_kld_k5/evt/k5e1/level	TT987
bg/ex4/03_kld_k5/evt/k5e2/level	TT989
bg/ex4/03_kld_k5/evt/k5e4/level	TT1057
bg/ex4/03_kld_k5/evt/k5e5/level	TT1079
bg/ex4/03_kld_k5/fld/k5f1/level	TT956
bg/ex4/03_kld_k5/fld/k5fa/level	TT995
bg/ex4/03_kld_k5/twn/k5t1/level	TT962
bg/ex4/03_kld_k5/twn/k5ti/level	TT990
bg/ex4/04_uvs_u5/cnt/u5c1/level	TT1000
bg/ex4/04_uvs_u5/dun/u5d1/level	TT973
bg/ex4/04_uvs_u5/dun/u5d2/level	TT976
bg/ex4/04_uvs_u5/dun/u5d3/level	TT986
bg/ex4/04_uvs_u5/evt/u5e1/level	TT1013
bg/ex4/04_uvs_u5/evt/u5e3/level	TT1073
bg/ex4/04_uvs_u5/fld/u5f1/level	TT959
bg/ex4/04_uvs_u5/fld/u5f2/level	TT960
bg/ex4/04_uvs_u5/fld/u5fa/level	TT992
bg/ex4/04_uvs_u5/fld/u5fb/level	TT997
bg/ex4/05_zon_z5/dun/z5d1/level	TT1070
bg/ex4/05_zon_z5/dun/z5d2/level	TT1164
bg/ex4/05_zon_z5/evt/z5e1/level	TT1061
bg/ex4/05_zon_z5/evt/z5e4/level	TT1077
bg/ex4/05_zon_z5/evt/z5e5/level	TT1162
bg/ex4/05_zon_z5/fld/z5fa/level	TT1071
bg/ex4/05_zon_z5/fld/z5fb/level	TT1140
bg/ex4/05_zon_z5/fld/z5fc/level	TT1168
bg/ex4/05_zon_z5/fld/z5fd/level	TT1361
bg/ex4/05_zon_z5/rad/z5r1/level	TT1054
bg/ex4/05_zon_z5/rad/z5r2/level	TT1118
bg/ex4/05_zon_z5/rad/z5r3/level	TT1178
bg/ex4/06_wil_w5/dun/w5d1/level	TT1069
bg/ex4/06_wil_w5/dun/w5d2/level	TT1075
bg/ex4/07_lak_l5/cnt/l5c0/level	TT1124
bg/ex4/07_lak_l5/cnt/l5c1/level	TT1099
bg/ex4/07_lak_l5/cnt/l5c2/level	TT1100
bg/ex4/07_lak_l5/cnt/l5c3/level	TT1101
bg/ex4/07_lak_l5/cnt/l5c4/level	TT1103
bg/ex4/07_lak_l5/cnt/l5c5/level	TT1105
bg/ex4/07_lak_l5/cnt/l5c6/level	TT1107
bg/ex4/08_est_e5/dun/e5d1/level	TT1137
bg/ex4/08_est_e5/dun/e5d2/level	TT1155
bg/ex4/09_ocn_o5/dun/o5d1/level	TT1176
bg/ex4/09_ocn_o5/dun/o5d2/level	TT1179
bg/ex5/01_xkt_x6/cnt/x6c1/level	TT1279
bg/ex5/01_xkt_x6/dun/x6d1/level	TT1198
bg/ex5/01_xkt_x6/dun/x6d2/level	TT1208
bg/ex5/01_xkt_x6/dun/x6d3/level	TT1199
bg/ex5/01_xkt_x6/dun/x6d4/level	TT1203
bg/ex5/01_xkt_x6/dun/x6d5/level	TT1204
bg/ex5/01_xkt_x6/dun/x6d6/level	TT1242
bg/ex5/01_xkt_x6/dun/x6d7/level	TT1266
bg/ex5/01_xkt_x6/dun/x6d8/level	TT1292
bg/ex5/01_xkt_x6/dun/x6d9/level	TT1314
bg/ex5/01_xkt_x6/evt/x6e1/level	TT1171
bg/ex5/01_xkt_x6/evt/x6e2/level	TT1207
bg/ex5/01_xkt_x6/evt/x6e4/level	TT1223
bg/ex5/01_xkt_x6/evt/x6e5/level	TT1224
bg/ex5/01_xkt_x6/evt/x6e7/level	TT1246
bg/ex5/01_xkt_x6/evt/x6e8/level	TT1268
bg/ex5/01_xkt_x6/evt/x6e9/level	TT1274
bg/ex5/01_xkt_x6/evt/x6eb/level	TT1299
bg/ex5/01_xkt_x6/evt/x6ed/level	TT1334
bg/ex5/01_xkt_x6/evt/x6ee/level	TT1338
bg/ex5/01_xkt_x6/evt/x6ef/level	TT1344
bg/ex5/01_xkt_x6/fld/x6f1/level	TT1190
bg/ex5/01_xkt_x6/fld/x6f2/level	TT1191
bg/ex5/01_xkt_x6/fld/x6f3/level	TT1192
bg/ex5/01_xkt_x6/fld/x6fa/level	TT1200
bg/ex5/01_xkt_x6/fld/x6fb/level	TT1202
bg/ex5/01_xkt_x6/fld/x6fc/level	TT1243
bg/ex5/01_xkt_x6/fld/x6fd/level	TT1270
bg/ex5/01_xkt_x6/fld/x6fe/level	TT1295
bg/ex5/01_xkt_x6/fld/x6ff/level	TT1300
bg/ex5/01_xkt_x6/fld/x6fg/level	TT1307
bg/ex5/01_xkt_x6/rad/x6r1/level	TT1225
bg/ex5/01_xkt_x6/rad/x6r2/level	TT1227
bg/ex5/01_xkt_x6/rad/x6r3/level	TT1229
bg/ex5/01_xkt_x6/rad/x6r4/level	TT1231
bg/ex5/01_xkt_x6/rad/x6r5/level	TT1256
bg/ex5/01_xkt_x6/rad/x6r6/level	TT1258
bg/ex5/01_xkt_x6/rad/x6r7/level	TT1260
bg/ex5/01_xkt_x6/rad/x6r8/level	TT1262
bg/ex5/01_xkt_x6/rad/x6r9/level	TT1320
bg/ex5/01_xkt_x6/rad/x6ra/level	TT1322
bg/ex5/01_xkt_x6/rad/x6rb/level	TT1324
bg/ex5/01_xkt_x6/rad/x6rc/level	TT1326
bg/ex5/01_xkt_x6/twn/x6t1/level	TT1186
bg/ex5/02_ykt_y6/cnt/y6c1/level	TT1209
bg/ex5/02_ykt_y6/dun/y6d1/level	TT1167
bg/ex5/02_ykt_y6/dun/y6d2/level	TT1193
bg/ex5/02_ykt_y6/dun/y6d3/level	TT1194
bg/ex5/02_ykt_y6/evt/y6e1/level	TT1170
bg/ex5/02_ykt_y6/evt/y6e2/level	TT1222
bg/ex5/02_ykt_y6/evt/y6e3/level	TT1206
bg/ex5/02_ykt_y6/evt/y6e5/level	TT1297
bg/ex5/02_ykt_y6/fld/y6f1/level	TT1187
bg/ex5/02_ykt_y6/fld/y6f2/level	TT1188
bg/ex5/02_ykt_y6/fld/y6f3/level	TT1189
bg/ex5/02_ykt_y6/fld/y6fa/level	TT1195
bg/ex5/02_ykt_y6/twn/y6t1/level	TT1185
bg/ex5/02_ykt_y6/twn/y6ti/level	TT1205
bg/ex5/03_ocn_o6/btl/o6b1/level	TT1252
bg/ex5/03_ocn_o6/evt/o6e1/level	TT1269
bg/ex5/03_ocn_o6/evt/o6e2/level	TT1277
bg/ex5/05_zon_z6/evt/z6e1/level	TT1264
bg/ex5/05_zon_z6/rad/z6r1/level	TT1248
bg/ex5/05_zon_z6/rad/z6r2/level	TT1304
bg/ex5/05_zon_z6/rad/z6r3/level	TT1368
bg/ex5/06_nvt_n6/cnt/n6c0/level	TT1280
bg/ex5/06_nvt_n6/cnt/n6c1/level	TT1281
bg/ex5/06_nvt_n6/cnt/n6c2/level	TT1282
bg/ex5/06_nvt_n6/cnt/n6c3/level	TT1283
bg/ex5/06_nvt_n6/cnt/n6c4/level	TT1285
bg/ex5/06_nvt_n6/cnt/n6c5/level	TT1287
bg/ex5/06_nvt_n6/cnt/n6c6/level	TT1289
bg/ex5/07_mid_m6/dun/m6d1/level	TT1315
bg/ex5/07_mid_m6/dun/m6d2/level	TT1345
bg/ex5/07_mid_m6/evt/m6e1/level	TT1337
bg/ffxiv/air_a1/evt/a1e1/level	STAGE:1-CHIP
bg/ffxiv/air_a1/evt/a1e2/level	STAGE:1-CHIP
bg/ffxiv/cos_c1/hou/c1w1/level	TT1237
bg/ffxiv/cos_c1/hou/c1w2/level	TT1291
bg/ffxiv/cos_c1/hou/c1w3/level	TT1310
bg/ffxiv/cos_c1/hou/c1w4/level	TT1319
bg/ffxiv/est_e1/evt/e1e1/level	STAGE:1-CHIP
bg/ffxiv/est_e1/hou/e1h1/level	TT641
bg/ffxiv/est_e1/ind/e1i1/level	TT649
bg/ffxiv/est_e1/ind/e1i2/level	TT650
bg/ffxiv/est_e1/ind/e1i3/level	TT651
bg/ffxiv/est_e1/ind/e1i4/level	TT652
bg/ffxiv/est_e1/ind/e1i5/level	TT653
bg/ffxiv/est_e1/ind/e1i6/level	TT654
bg/ffxiv/fst_f1/bah/f1b1/level	TT355
bg/ffxiv/fst_f1/bah/f1b2/level	TT356
bg/ffxiv/fst_f1/bah/f1b3/level	TT357
bg/ffxiv/fst_f1/bah/f1b4/level	TT358
bg/ffxiv/fst_f1/bah/f1b5/level	TT370
bg/ffxiv/fst_f1/bah/f1bz/level	TT733
bg/ffxiv/fst_f1/cnt/f1c1/level	TT561
bg/ffxiv/fst_f1/cnt/f1c2/level	TT562
bg/ffxiv/fst_f1/cnt/f1c3/level	TT563
bg/ffxiv/fst_f1/cnt/f1c4/level	TT564
bg/ffxiv/fst_f1/cnt/f1c5/level	TT593
bg/ffxiv/fst_f1/cnt/f1c6/level	TT596
bg/ffxiv/fst_f1/cnt/f1c7/level	TT603
bg/ffxiv/fst_f1/cnt/f1c8/level	TT599
bg/ffxiv/fst_f1/cnt/f1c9/level	TT601
bg/ffxiv/fst_f1/dun/f1d1/level	TT1037
bg/ffxiv/fst_f1/dun/f1d2/level	TT1040
bg/ffxiv/fst_f1/dun/f1d3/level	TT167
bg/ffxiv/fst_f1/dun/f1d4/level	TT350
bg/ffxiv/fst_f1/dun/f1d5/level	TT363
bg/ffxiv/fst_f1/dun/f1d6/level	TT373
bg/ffxiv/fst_f1/dun/f1d7/level	TT189
bg/ffxiv/fst_f1/dun/f1d8/level	TT519
bg/ffxiv/fst_f1/dun/f1d9/level	TT571
bg/ffxiv/fst_f1/dun/f1da/level	TT1114
bg/ffxiv/fst_f1/dun/f1db/level	TT994
bg/ffxiv/fst_f1/dun/f1dc/level	TT1233
bg/ffxiv/fst_f1/dun/f1dd/level	TT1298
bg/ffxiv/fst_f1/dun/f1de/level	TT1369
bg/ffxiv/fst_f1/evt/f1e4/level	TT204
bg/ffxiv/fst_f1/evt/f1e5/level	TT205
bg/ffxiv/fst_f1/evt/f1e6/level	TT392
bg/ffxiv/fst_f1/evt/f1e7/level	TT570
bg/ffxiv/fst_f1/evt/f1e8/level	STAGE:2-EVT-NoTT-MISSING-FROM-CHIP
bg/ffxiv/fst_f1/evt/f1e9/level	TT741
bg/ffxiv/fst_f1/evt/f1ea/level	TT1094
bg/ffxiv/fst_f1/evt/f1eb/level	TT1098
bg/ffxiv/fst_f1/evt/f1ec/level	TT1247
bg/ffxiv/fst_f1/evt/f1ed/level	TT1336
bg/ffxiv/fst_f1/fld/f1f1/level	TT148
bg/ffxiv/fst_f1/fld/f1f2/level	TT152
bg/ffxiv/fst_f1/fld/f1f3/level	TT153
bg/ffxiv/fst_f1/fld/f1f4/level	TT154
bg/ffxiv/fst_f1/fld/f1fa/level	TT364
bg/ffxiv/fst_f1/fld/f1fb/level	TT374
bg/ffxiv/fst_f1/fld/f1fc/level	TT391
bg/ffxiv/fst_f1/hou/f1h1/level	TT340
bg/ffxiv/fst_f1/ind/f1i1/level	TT342
bg/ffxiv/fst_f1/ind/f1i2/level	TT343
bg/ffxiv/fst_f1/ind/f1i3/level	TT344
bg/ffxiv/fst_f1/ind/f1i4/level	TT385
bg/ffxiv/fst_f1/ind/f1i5/level	TT425
